test_date,primary,cohort_name,n_members,window_start,window_end,intra_corr_1y,pc1_variance_pct,p_independence_intra,p_random_basket_intra,p_random_basket_pc1,n_permutations,holdout_window,train_intra,test_intra,train_pc1_pct,test_pc1_pct,stability_ratio,threshold_stable_width,threshold_stable_ranges,definition_date,oos_start,oos_end,oos_obs,oos_intra,oos_pc1_pct,oos_vs_insample_ratio,p_oos_random_basket,oos_verdict,p_vol_matched_intra,p_vol_matched_pc1
2026-06-10,V,Card networks duopoly,2,2025-04-30,2026-04-30,0.8266,91.33,,0.0011998800119988001,0.0011998800119988001,10000,2y,0.8949,0.8272,94.74,91.36,0.9244,0.4,0.20-0.60,2026-05-03,2026-05-05,2026-06-10,24,0.8662,93.31,1.0484,0.0028,PRELIMINARY OOS-CONFIRMED,,
2026-06-10,COIN,Crypto-exposed financial platforms,2,2025-06-10,2026-06-10,0.6665,83.33,,0.0017998200179982,0.0017998200179982,10000,2y,0.8016,0.6645,90.08,83.22,0.8289,0.05,0.25-0.30,2026-05-09,2026-05-12,2026-06-10,19,0.7712,88.56,1.1638,0.010399,PRELIMINARY OOS-STRENGTHENING,,
2026-06-10,CORZ,Crypto-to-AI converters,7,2025-05-08,2026-05-08,0.6271,68.31,,9.999000099990002e-05,9.999000099990002e-05,10000,2y,0.706,0.6289,75.05,68.47,0.8908,0.0,none,2026-05-11,2026-05-12,2026-06-10,19,0.7061,75.06,1.1304,0.0001,PRELIMINARY OOS-STRENGTHENING,,
2026-06-10,PANW,Cybersecurity consolidation,4,2025-04-30,2026-04-30,0.3401,52.86,,0.050994900509949,0.0377962203779622,10000,2y,0.5112,0.34,63.49,52.86,0.6651,0.0,none,2026-05-03,2026-05-05,2026-06-10,24,0.4964,65.4,1.4361,0.009099,PRELIMINARY OOS-STRENGTHENING,,
2026-06-10,LMT,Defense primes,7,2025-05-08,2026-05-08,0.4472,53.05,,9.999000099990002e-05,0.00019998000199980003,10000,2y,0.5007,0.4471,57.85,53.04,0.8928,0.05,0.60-0.65,2026-05-03,2026-05-05,2026-06-10,24,0.5972,66.53,1.3259,0.0001,PRELIMINARY OOS-STRENGTHENING,,
2026-06-10,LMT,Defense primes (core 6),6,2025-05-08,2026-05-08,0.4819,57.06,,9.999000099990002e-05,9.999000099990002e-05,10000,2y,0.5307,0.4818,61.39,57.05,0.9078,0.15,0.50-0.65,2026-05-11,2026-05-12,2026-06-10,19,0.7561,79.8,1.5431,0.0001,PRELIMINARY OOS-STRENGTHENING,,
2026-06-10,NET,Edge control-plane risk basket (ECPR),3,2025-04-30,2026-04-30,0.4666,64.51,,0.0122987701229877,0.014898510148985102,10000,2y,0.4877,0.4669,65.9,64.53,0.9573,0.0,none,2026-05-03,2026-05-05,2026-06-10,24,-0.0008,52.11,-0.0018,0.694731,PRELIMINARY OOS-FAILED,,
2026-06-10,NVDA,Fabless semiconductor,4,2025-04-30,2026-04-30,0.4026,56.04,,0.017298270172982702,0.0182981701829817,10000,2y,0.7737,0.4025,83.06,56.04,0.5203,0.0,none,2026-05-03,2026-05-05,2026-06-10,24,0.3526,52.89,0.85,0.052195,PRELIMINARY OOS-WEAKENED,,
2026-06-10,TSM,Foundry monopoly,4,2025-04-30,2026-04-30,0.2069,43.65,,0.3284671532846715,0.26007399260073993,10000,2y,0.2925,0.2066,50.14,43.62,0.7061,0.0,none,2026-05-03,2026-05-07,2026-06-10,20,0.3294,51.11,1.5919,0.068293,PRELIMINARY OOS-STRENGTHENING,,
2026-06-10,MC.PA,Global luxury candidate basket,9,2025-05-27,2026-05-27,0.4928,56.22,,9.999000099990002e-05,9.999000099990002e-05,10000,2y,0.5266,0.4928,60.48,56.22,0.9359,0.0,none,2026-05-28,2026-05-29,2026-06-10,7,,,,,INSUFFICIENT_HISTORY (7 obs < 15),,
